"filename", "language", "Shell Script", "Dart", "JSON", "YAML", "Markdown", "HTML", "XML", "comment", "blank", "total"
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/models/region.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 6, 29
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/models/return_model.dart", "Dart", 0, 134, 0, 0, 0, 0, 0, 0, 7, 141
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/models/route.dart", "Dart", 0, 34, 0, 0, 0, 0, 0, 0, 6, 40
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/models/sale_order.dart", "Dart", 0, 180, 0, 0, 0, 0, 0, 0, 6, 186
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/models/shop.dart", "Dart", 0, 133, 0, 0, 0, 0, 0, 0, 7, 140
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/models/shop_payment.dart", "Dart", 0, 113, 0, 0, 0, 0, 0, 0, 8, 121
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/models/trip.dart", "Dart", 0, 136, 0, 0, 0, 0, 0, 0, 7, 143
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/models/vehicle.dart", "Dart", 0, 53, 0, 0, 0, 0, 0, 0, 5, 58
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/models/vehicle_service.dart", "Dart", 0, 46, 0, 0, 0, 0, 0, 0, 5, 51
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/pages/error_page.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/pages/home_page.dart", "Dart", 0, 194, 0, 0, 0, 0, 0, 27, 13, 234
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/pages/login_page.dart", "Dart", 0, 130, 0, 0, 0, 0, 0, 2, 9, 141
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/pages/overview.dart", "Dart", 0, 97, 0, 0, 0, 0, 0, 0, 5, 102
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/routes.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
